Typ;Titel;Beschreibung
Warmup;   Jumping  Jack ;   Der  gute,  alte  Hampelmann/innen 
Legs;   Wandsitzen  mit  Bizepscurls ;
Core;   Low  Plank  one  Leg  raised ;
Push;   Pike  to  straigth  Push  Up ; Pike  Push  up  und  normaler  Pushup  im  Wechsel 
Pull;   Vorgebeugtes  Rudern ; mit  Gewicht 
Cardio;   Speedy  Bizeps ;
